year,state,avg_u_rate
2022,Johor,2.75
2022,Kedah,3.25
2022,Kelantan,3.85
2022,Melaka,2.875
2022,Negeri Sembilan,3.05
2022,Pahang,2.675
2022,Pulau Pinang,2.775
2022,Perak,3.325
2022,Perlis,2.85
2022,Selangor,3.05
2022,Terengganu,4.375
2022,Sabah,8.5
2022,Sarawak,3.15
2022,Kuala Lumpur,3.95
2022,Labuan,6.375
2022,Putrajaya,1.125
2023,Johor,2.45
2023,Kedah,2.45
2023,Kelantan,3.975
2023,Melaka,2.75
2023,Negeri Sembilan,2.4
2023,Pahang,2.65
2023,Pulau Pinang,2.125
2023,Perak,3.25
2023,Perlis,2.175
2023,Selangor,2.425
2023,Terengganu,4.425
2023,Sabah,7.525
2023,Sarawak,3.45
2023,Kuala Lumpur,3.325
2023,Labuan,6.75
2023,Putrajaya,0.825
